,Loan_default
179568,0
5035,0
31099,0
47710,0
5813,0
102569,0
218994,0
11177,0
44094,0
119394,1
171788,1
220677,1
156107,0
31138,0
61163,0
11392,0
224624,0
113263,0
3953,0
142989,0
194739,0
122265,0
9258,0
124580,0
171781,0
89940,0
191246,0
220352,1
31213,0
200994,0
202704,0
87072,1
132585,0
120264,0
173737,0
72780,1
36991,1
169620,0
118618,0
157995,0
19125,0
60957,0
51971,0
152525,0
160149,0
229700,0
211179,1
182315,0
95423,0
140330,1
210361,1
93669,0
124950,1
6448,0
215459,0
37527,0
69563,0
63380,0
29231,0
191924,0
206566,0
115550,0
126203,0
22775,0
118772,0
215708,1
204,0
192935,0
91413,0
84270,0
203295,1
185651,0
180037,0
77530,0
173190,0
30079,1
71555,0
212502,0
136220,0
9635,0
84563,0
158893,1
65474,0
70154,0
233135,0
20772,0
140816,0
100627,0
166459,0
172447,1
7289,0
213550,1
230867,1
57583,0
84889,0
58392,1
217595,0
62191,1
194586,0
184397,0
218391,1
102159,0
195484,0
181990,0
78469,0
136453,0
54623,0
191546,0
169047,1
120338,0
44378,0
112674,0
61142,1
110328,0
129491,0
72481,0
231450,0
161232,1
103126,0
4282,0
12638,0
150001,0
128594,1
161574,0
110527,0
116835,0
107223,0
138670,0
93494,0
206776,0
141709,0
55710,0
211798,0
22267,0
39719,0
19428,0
46109,0
58913,0
141497,0
223365,0
167657,0
151423,0
161066,0
81490,0
114858,0
126591,0
121050,0
1323,1
5082,0
140478,1
31632,0
42579,0
203680,0
49492,0
84240,1
229825,0
118282,0
68954,0
142636,0
173992,0
70036,1
148553,0
32741,1
45977,0
87292,1
35639,0
110548,0
20072,0
222655,1
53199,0
121855,1
112404,0
172209,0
88380,0
94567,0
58982,1
190441,0
14753,0
16922,1
13817,0
149508,0
60003,0
132527,1
93345,1
123925,0
114247,0
151729,0
109514,0
24175,1
11710,0
60908,1
140835,1
203630,1
9809,0
57614,0
132713,1
93042,0
2723,0
95531,1
102152,0
32957,1
39595,0
204031,0
187520,0
131176,0
18107,1
115501,0
204545,0
186011,0
187880,0
231064,0
47551,0
16609,1
224777,0
77571,0
41436,0
102500,0
45136,0
103527,0
206072,0
64287,0
100828,1
213067,0
98324,1
200109,0
40098,0
116599,0
195093,1
162524,0
225138,0
71290,1
64780,0
128673,0
196060,1
81427,0
8183,0
129246,0
25961,0
138104,0
3584,1
15899,0
143423,1
137773,0
177667,0
121517,1
79875,0
24157,0
117953,0
40178,0
179908,0
187912,0
6080,0
145141,0
30345,1
176945,0
209683,0
208461,0
